Island,Population,Area,Province
Gran Canaria,855521,1560.1,LPGC
Tenerife,928604,2034.38,SCTF
La Palma,83458,708.32,SCTF
Lanzarote,155812,845.94,LPGC
La Gomera,21678,369.76,SCTF
El Hierro,11147,278.71,SCTF
Fuerteventura,119732,1659.0,LPGC
