,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
0, 5 Series,2014,11200,Automatic,67068,Diesel,125,57.6,2.0
1, 6 Series,2018,27000,Automatic,14827,Petrol,145,42.8,2.0
2, 5 Series,2016,16000,Automatic,62794,Diesel,160,51.4,3.0
3, 1 Series,2017,12750,Automatic,26676,Diesel,145,72.4,1.5
4, 7 Series,2014,14500,Automatic,39554,Diesel,160,50.4,3.0
5, 5 Series,2016,14900,Automatic,35309,Diesel,125,60.1,2.0
6, 5 Series,2017,16000,Automatic,38538,Diesel,125,60.1,2.0
7, 2 Series,2018,16250,Manual,10401,Petrol,145,52.3,1.5
8, 4 Series,2017,14250,Manual,42668,Diesel,30,62.8,2.0
9, 5 Series,2016,14250,Automatic,36099,Diesel,20,68.9,2.0
10, X3,2017,15500,Manual,74907,Diesel,145,52.3,2.0
11, 1 Series,2017,11800,Manual,29840,Diesel,20,68.9,2.0
12, X3,2016,15500,Automatic,77823,Diesel,125,54.3,2.0
13, 2 Series,2015,10500,Manual,31469,Diesel,20,68.9,2.0
14, X3,2017,22000,Automatic,19057,Diesel,145,54.3,2.0
15, 3 Series,2017,16500,Manual,16570,Diesel,125,58.9,2.0
16, 3 Series,2017,14250,Automatic,55594,Other,135,148.7,2.0
17, 3 Series,2017,16000,Automatic,45456,Diesel,30,64.2,2.0
18, 1 Series,2017,15500,Automatic,22812,Diesel,20,68.9,1.5
19, 4 Series,2014,14000,Automatic,47348,Diesel,125,60.1,2.0
20, 1 Series,2015,9700,Automatic,75124,Diesel,20,70.6,2.0
21, 3 Series,2015,12600,Automatic,78957,Diesel,30,62.8,2.0
22, 3 Series,2016,15100,Automatic,29213,Diesel,30,64.2,2.0
23, 1 Series,2016,9400,Manual,44498,Diesel,0,83.1,1.5
24, 1 Series,2016,14300,Automatic,22461,Diesel,20,67.3,2.0
25, 1 Series,2016,11200,Manual,23005,Petrol,125,53.3,1.5
26, 3 Series,2019,17800,Automatic,22310,Diesel,145,64.2,2.0
27, 3 Series,2016,14400,Automatic,51994,Diesel,30,62.8,2.0
28, X5,2016,19750,Automatic,96213,Diesel,165,52.3,2.0
29, X3,2015,17400,Automatic,50316,Diesel,200,47.9,3.0
30, 4 Series,2017,16800,Automatic,44011,Diesel,150,65.7,2.0
31, X4,2017,23000,Automatic,34960,Diesel,150,54.3,2.0
33, 1 Series,2017,20500,Automatic,24029,Petrol,145,39.8,3.0
34, 1 Series,2017,11900,Manual,22920,Petrol,145,53.3,1.5
35, 2 Series,2017,13000,Automatic,61818,Other,0,141.2,1.5
36, 3 Series,2015,11500,Manual,59634,Diesel,125,61.4,2.0
37, 1 Series,2016,13500,Manual,29226,Diesel,30,62.8,2.0
38, X1,2017,18900,Automatic,33514,Diesel,145,60.1,2.0
39, 1 Series,2018,14600,Automatic,6522,Petrol,145,37.2,1.5
40, 3 Series,2016,15800,Manual,11231,Petrol,145,47.9,2.0
41, 1 Series,2016,11400,Manual,21591,Petrol,125,53.3,1.5
42, X3,2013,12000,Automatic,79972,Diesel,200,47.1,3.0
43, 1 Series,2018,17500,Automatic,14037,Petrol,145,54.3,1.5
44, 5 Series,2017,23500,Automatic,25034,Diesel,200,47.9,3.0
45, X1,2016,16700,Automatic,44478,Diesel,125,60.1,2.0
46, X3,2017,18000,Automatic,74852,Diesel,150,47.1,3.0
47, 4 Series,2016,15500,Automatic,45856,Diesel,30,65.7,2.0
48, 1 Series,2016,9200,Manual,48858,Diesel,0,83.1,1.5
49, 1 Series,2017,11200,Manual,40399,Diesel,145,68.9,2.0
50, 1 Series,2016,13200,Manual,17393,Diesel,30,65.7,2.0
51, 5 Series,2014,11000,Automatic,84816,Diesel,30,62.8,2.0
52, 3 Series,2017,18500,Automatic,27139,Diesel,160,51.4,3.0
53, 1 Series,2017,12750,Automatic,91563,Diesel,125,60.1,2.0
54, 3 Series,2014,14000,Manual,32139,Petrol,205,43.5,2.0
55, X1,2017,14000,Automatic,54120,Diesel,30,65.7,2.0
56, X1,2017,14000,Manual,20925,Diesel,150,68.9,2.0
57, 3 Series,2016,12750,Manual,30521,Diesel,20,68.9,2.0
58, X1,2018,18000,Manual,16066,Petrol,150,51.4,1.5
59, 1 Series,2015,11100,Manual,11524,Diesel,0,83.1,1.5
60, 1 Series,2017,12700,Manual,21809,Petrol,145,53.3,1.5
61, 1 Series,2017,14500,Automatic,27245,Diesel,145,68.9,2.0
62, 3 Series,2013,12750,Automatic,35736,Diesel,125,58.9,2.0
63, X1,2017,14100,Automatic,55782,Diesel,145,65.7,2.0
64, 1 Series,2016,10800,Manual,26404,Petrol,125,53.3,1.5
65, 1 Series,2016,13000,Manual,26631,Petrol,125,52.3,1.5
66, 1 Series,2016,12500,Manual,24111,Petrol,145,47.1,1.6
67, 3 Series,2017,13600,Manual,22763,Petrol,145,48.7,2.0
68, 3 Series,2016,12700,Manual,17385,Diesel,20,72.4,2.0
69, 5 Series,2016,15600,Automatic,35474,Diesel,125,60.1,2.0
70, 4 Series,2016,15250,Manual,16584,Diesel,30,62.8,2.0
71, 1 Series,2018,11700,Manual,30273,Diesel,145,53.3,1.5
72, 2 Series,2017,10900,Manual,62021,Diesel,145,65.7,2.0
73, 5 Series,2016,14400,Automatic,51552,Diesel,30,62.8,2.0
74, 1 Series,2016,11100,Manual,29508,Petrol,125,53.3,1.5
75, 1 Series,2017,11100,Manual,30865,Diesel,145,72.4,1.5
76, 5 Series,2014,12400,Automatic,46356,Diesel,30,62.8,2.0
77, 1 Series,2016,12800,Manual,18343,Diesel,20,70.6,1.5
