Versión, Fecha de lanzamiento
1.4, Octubre 1996
1.5, Febrero 1998
1.6, Septiembre 2000
2.0, Octubre 2000
2.1, Abril 2001
2.2, Diciembre 2001
2.3, Julio 2003
2.4, Noviembre 2004
2.5, Septiembre 2006
2.6, Octubre 2008
**2.7**, Julio 2010
3.0, Diciembre 2008
3.1, Junio 2009
3.2, Febrero 2011
3.3, Septiembre 2012
3.4, Marzo 2014
3.5, Septiembre 2015
3.6, Diciembre 2016
3.7, Junio 2018
3.8, Octubre 2019
