Acción,Atajo
Abrir paleta de comandos,``Ctrl + Shift + P``
Abrir archivo,``Ctrl + P``
Nueva ventana,``Ctrl + Shift + N``
Cerrar ventana,``Ctrl + Shift + W``
Ajustes del perfil,"``Ctrl + ,``"
