año,mes,nación,5 estrellas,4 estrellas,3 estrellas,1 y 2 estrellas,hoteles,extrahoteleros,total
2018,4,Suiza,772,1216,102,45,2135,214,2349
2018,4,Austria,156,501,53,13,723,128,851
2018,4,Rusia,546,700,476,120,1842,1262,3104
2018,4,Países del Este,471,3059,1075,332,4937,1143,6080
2018,4,Resto de Europa,637,1111,732,130,2610,1387,3997
2018,4,USA,252,104,16,36,408,100,508
2018,4,Resto de América,85,67,21,11,184,51,235
2018,4,Resto del Mundo,399,1222,68,43,1732,517,2249
2018,4,TOTAL,27756,68807,14251,5402,116216,37500,153716
2018,5,España,4591,9720,918,405,15634,2939,18573
2018,5,Holanda,1115,3446,674,165,5400,1489,6889
2018,5,Bélgica,1350,3112,302,56,4820,423,5243
2018,5,Alemania,2945,10509,3133,165,16752,3841,20593
2018,5,Francia,646,2380,185,199,3410,624,4034
2018,5,Reino Unido,10444,28060,4442,1972,44918,21860,66778
2018,5,Irlanda,483,1397,225,233,2338,1051,3389
2018,5,Italia,273,1731,430,104,2538,729,3267
2018,5,Suecia,44,194,40,132,410,49,459
2018,5,Noruega,30,37,16,120,203,78,281
2018,5,Dinamarca,32,591,135,249,1007,74,1081
2018,5,Finlandia,9,217,69,3,298,91,389
2018,5,Suiza,566,879,71,52,1568,174,1742
2018,5,Austria,176,416,12,8,612,100,712
2018,5,Rusia,471,682,473,91,1717,1155,2872
2018,5,Países del Este,519,2490,632,200,3841,948,4789
2018,5,Resto de Europa,572,1101,903,82,2658,780,3438
2018,5,USA,197,127,14,28,366,119,485
2018,5,Resto de América,81,127,15,14,237,135,372
2018,5,Resto del Mundo,409,1342,42,29,1822,556,2378
2018,5,TOTAL,24953,68558,12731,4307,110549,37215,147764
2018,6,España,6819,14230,1264,909,23222,3898,27120
2018,6,Holanda,584,2616,544,133,3877,1155,5032
2018,6,Bélgica,1081,3023,395,62,4561,398,4959
2018,6,Alemania,2456,11408,2829,91,16784,3958,20742
2018,6,Francia,431,1573,187,66,2257,581,2838
2018,6,Reino Unido,10359,26409,5200,2852,44820,25548,70368
2018,6,Irlanda,525,1233,275,567,2600,1454,4054
2018,6,Italia,405,1724,484,129,2742,904,3646
2018,6,Suecia,85,484,36,30,635,61,696
2018,6,Noruega,69,278,63,25,435,88,523
2018,6,Dinamarca,30,339,58,326,753,107,860
2018,6,Finlandia,5,33,9,5,52,125,177
2018,6,Suiza,432,1016,66,24,1538,94,1632
2018,6,Austria,161,694,24,15,894,141,1035
2018,6,Rusia,521,796,535,100,1952,1627,3579
2018,6,Países del Este,605,2446,755,271,4077,1496,5573
2018,6,Resto de Europa,554,1617,737,249,3157,1178,4335
2018,6,USA,188,117,12,30,347,161,508
2018,6,Resto de América,89,123,16,20,248,154,402
2018,6,Resto del Mundo,444,1580,38,30,2092,451,2543
2018,6,TOTAL,25843,71739,13527,5934,117043,43579,160622
2018,7,España,8001,14747,1834,1228,25810,5080,30890
2018,7,Holanda,965,3277,798,152,5192,1724,6916
2018,7,Bélgica,1881,3885,594,77,6437,707,7144
2018,7,Alemania,2690,9935,3424,153,16202,4869,21071
2018,7,Francia,693,2012,105,104,2914,1430,4344
2018,7,Reino Unido,12552,25514,4799,2290,45155,25290,70445
2018,7,Irlanda,593,1011,260,510,2374,1747,4121
2018,7,Italia,363,1887,549,100,2899,959,3858
2018,7,Suecia,33,276,156,15,480,108,588
2018,7,Noruega,77,650,105,42,874,215,1089
2018,7,Dinamarca,171,543,104,402,1220,244,1464
2018,7,Finlandia,3,1,6,2,12,57,69
2018,7,Suiza,713,1276,158,49,2196,386,2582
2018,7,Austria,256,711,36,6,1009,283,1292
2018,7,Rusia,703,566,436,113,1818,1220,3038
2018,7,Países del Este,1026,2803,637,241,4707,1060,5767
2018,7,Resto de Europa,635,1623,888,372,3518,996,4514
2018,7,USA,212,141,18,39,410,134,544
2018,7,Resto de América,206,110,15,26,357,163,520
2018,7,Resto del Mundo,898,1716,83,27,2724,767,3491
2018,7,TOTAL,32671,72684,15005,5948,126308,47439,173747
2018,8,España,11033,17854,2747,1964,33598,7103,40701
2018,8,Holanda,1075,3213,785,173,5246,2045,7291
2018,8,Bélgica,1502,3036,672,98,5308,496,5804
2018,8,Alemania,2709,10207,3508,164,16588,4472,21060
2018,8,Francia,978,2158,267,156,3559,1575,5134
2018,8,Reino Unido,12988,26191,4470,2272,45921,27369,73290
2018,8,Irlanda,533,882,263,521,2199,1439,3638
2018,8,Italia,645,2541,781,230,4197,1521,5718
2018,8,Suecia,27,408,10,11,456,49,505
2018,8,Noruega,23,240,4,11,278,20,298
2018,8,Dinamarca,46,328,17,99,490,70,560
2018,8,Finlandia,6,4,0,3,13,34,47
2018,8,Suiza,453,651,55,22,1181,151,1332
2018,8,Austria,261,792,25,13,1091,211,1302
2018,8,Rusia,946,487,342,141,1916,1216,3132
2018,8,Países del Este,897,2540,675,245,4357,1074,5431
2018,8,Resto de Europa,836,2357,635,311,4139,1045,5184
