año,mes,nacion,4 y 5 estrellas,3 estrellas,2 estrellas,1 estrella,hoteleros,extrahoteleros,total
2009,3,Holanda,0,18,25,7,50,0,50
2009,3,Bélgica,15,12,25,11,63,0,63
2009,3,Alemania,33,100,169,64,366,0,366
2009,3,Francia,50,74,99,79,302,0,302
2009,3,Gran Bretaña,34,78,134,25,271,0,271
2009,3,Irlanda,15,18,19,0,52,0,52
2009,3,Italia,43,81,154,31,309,0,309
2009,3,Suecia,6,4,54,1,65,0,65
2009,3,Noruega,1,6,28,5,40,0,40
2009,3,Dinamarca,7,13,24,7,51,0,51
2009,3,Finlandia,4,5,60,3,72,0,72
2009,3,Suiza,15,19,12,3,49,0,49
2009,3,Austria,7,9,32,3,51,0,51
2009,3,Rusia,0,14,22,0,36,0,36
2009,3,Países del Este,0,21,80,9,110,0,110
2009,3,Resto de Europa,38,86,67,16,207,0,207
2009,3,Estados Unidos,30,28,22,8,88,0,88
2009,3,Resto de América,17,64,101,60,242,0,242
2009,3,Resto del Mundo,30,87,151,27,295,0,295
2009,3,TOTAL,5000,4395,5187,1071,15653,0,15653
2009,4,España,3673,2919,3491,712,10795,0,10795
2009,4,Holanda,0,15,21,1,37,0,37
2009,4,Bélgica,5,20,33,4,62,0,62
2009,4,Alemania,46,53,66,53,218,0,218
2009,4,Francia,37,88,93,95,313,0,313
2009,4,Gran Bretaña,24,41,108,9,182,0,182
2009,4,Irlanda,11,15,6,0,32,0,32
2009,4,Italia,29,48,71,16,164,0,164
2009,4,Suecia,2,6,9,6,23,0,23
2009,4,Noruega,6,10,2,0,18,0,18
2009,4,Dinamarca,7,8,14,0,29,0,29
2009,4,Finlandia,0,4,33,3,40,0,40
2009,4,Suiza,25,10,14,10,59,0,59
2009,4,Austria,1,4,18,1,24,0,24
2009,4,Rusia,0,6,41,1,48,0,48
2009,4,Países del Este,0,13,25,30,68,0,68
2009,4,Resto de Europa,21,85,52,17,175,0,175
2009,4,Estados Unidos,32,35,9,3,79,0,79
2009,4,Resto de América,44,190,154,69,457,0,457
2009,4,Resto del Mundo,63,65,104,24,256,0,256
2009,4,TOTAL,4026,3635,4364,1054,13079,0,13079
2009,5,España,4048,3396,3388,624,11456,0,11456
2009,5,Holanda,3,18,26,3,50,0,50
2009,5,Bélgica,23,5,18,3,49,0,49
2009,5,Alemania,38,66,99,23,226,0,226
2009,5,Francia,19,62,64,32,177,0,177
2009,5,Gran Bretaña,25,39,130,6,200,0,200
2009,5,Irlanda,2,4,16,0,22,0,22
2009,5,Italia,4,48,60,22,134,0,134
2009,5,Suecia,5,2,8,0,15,0,15
2009,5,Noruega,3,8,7,3,21,0,21
2009,5,Dinamarca,1,6,6,0,13,0,13
2009,5,Finlandia,0,0,22,0,22,0,22
2009,5,Suiza,19,4,13,4,40,0,40
2009,5,Austria,9,3,7,0,19,0,19
2009,5,Rusia,0,17,21,0,38,0,38
2009,5,Países del Este,42,8,39,19,108,0,108
2009,5,Resto de Europa,19,62,31,6,118,0,118
2009,5,Estados Unidos,18,35,34,0,87,0,87
2009,5,Resto de América,58,96,151,98,403,0,403
2009,5,Resto del Mundo,76,72,94,34,276,0,276
2009,5,TOTAL,4412,3951,4234,877,13474,0,13474
2009,6,España,4267,2978,3267,572,11084,0,11084
2009,6,Holanda,1,5,20,4,30,0,30
2009,6,Bélgica,5,8,9,0,22,0,22
2009,6,Alemania,29,53,47,24,153,0,153
2009,6,Francia,39,40,31,36,146,0,146
2009,6,Gran Bretaña,19,55,58,9,141,0,141
2009,6,Irlanda,0,2,6,0,8,0,8
2009,6,Italia,29,49,85,34,197,0,197
2009,6,Suecia,3,0,9,1,13,0,13
2009,6,Noruega,3,3,4,1,11,0,11
2009,6,Dinamarca,0,1,5,0,6,0,6
2009,6,Finlandia,0,1,4,0,5,0,5
2009,6,Suiza,3,0,14,1,18,0,18
2009,6,Austria,6,1,5,0,12,0,12
2009,6,Rusia,4,12,9,0,25,0,25
2009,6,Países del Este,3,23,32,13,71,0,71
2009,6,Resto de Europa,96,29,52,9,186,0,186
2009,6,Estados Unidos,22,13,29,3,67,0,67
