año,mes,nacion,4 y 5 estrellas,3 estrellas,1 y 2 estrellas,hoteleros,extrahoteleros,total
2018,12,USA,93,17,7,117,60,177
2018,12,Resto de América,100,51,2,153,104,257
2018,12,Resto del Mundo,678,194,24,896,229,1125
2018,12,TOTAL,41036,8383,1889,51308,16572,67880
2018,13,España,254142,54457,15948,324547,107591,432138
2018,13,Holanda,5258,2000,145,7403,4830,12233
2018,13,Bélgica,5422,606,71,6099,965,7064
2018,13,Alemania,139767,22737,1224,163728,34578,198306
2018,13,Francia,17669,2800,584,21053,7011,28064
2018,13,Reino Unido,51922,8004,1020,60946,19321,80267
2018,13,Irlanda,3162,1271,68,4501,2212,6713
2018,13,Italia,5581,2409,677,8667,4725,13392
2018,13,Suecia,5143,1733,136,7012,6142,13154
2018,13,Noruega,1838,544,59,2441,2914,5355
2018,13,Dinamarca,3149,838,53,4040,4796,8836
2018,13,Finlandia,6377,1694,179,8250,15366,23616
2018,13,Suiza,3919,1064,114,5097,1491,6588
2018,13,Austria,6949,878,41,7868,1277,9145
2018,13,Rusia,3527,1014,299,4840,2724,7564
2018,13,Países del Este,10517,3354,495,14366,3799,18165
2018,13,Resto de Europa,21864,4166,262,26292,9223,35515
2018,13,USA,1172,297,83,1552,685,2237
2018,13,Resto de América,1694,895,113,2702,1564,4266
2018,13,Resto del Mundo,10731,1590,188,12509,2053,14562
2018,13,TOTAL,559803,112351,21759,693913,233267,927180
2019,1,España,13138,2580,1177,16895,3415,20310
2019,1,Holanda,350,121,19,490,168,658
2019,1,Bélgica,408,73,12,493,109,602
2019,1,Alemania,12320,1760,128,14208,2982,17190
2019,1,Francia,1207,247,79,1533,245,1778
2019,1,Reino Unido,5589,506,97,6192,1541,7733
2019,1,Irlanda,288,77,10,375,164,539
2019,1,Italia,526,192,44,762,326,1088
2019,1,Suecia,759,329,18,1106,886,1992
2019,1,Noruega,224,116,8,348,597,945
2019,1,Dinamarca,750,134,25,909,822,1731
2019,1,Finlandia,874,284,43,1201,2643,3844
2019,1,Suiza,308,51,15,374,182,556
2019,1,Austria,405,68,0,473,150,623
2019,1,Rusia,389,113,43,545,249,794
2019,1,Países del Este,876,131,63,1070,385,1455
2019,1,Resto de Europa,1602,181,37,1820,650,2470
2019,1,USA,98,19,3,120,25,145
2019,1,Resto de América,277,79,13,369,113,482
2019,1,Resto del Mundo,579,226,23,828,150,978
2019,1,TOTAL,40967,7287,1857,50111,15802,65913
2019,2,España,14216,2926,1210,18352,3661,22013
2019,2,Holanda,262,155,21,438,203,641
2019,2,Bélgica,283,72,8,363,63,426
2019,2,Alemania,11100,1631,146,12877,2430,15307
2019,2,Francia,1465,303,76,1844,519,2363
2019,2,Reino Unido,5438,709,106,6253,1334,7587
2019,2,Irlanda,258,51,13,322,176,498
2019,2,Italia,344,167,66,577,369,946
2019,2,Suecia,604,177,13,794,779,1573
2019,2,Noruega,229,97,11,337,439,776
2019,2,Dinamarca,595,98,1,694,576,1270
2019,2,Finlandia,906,295,40,1241,2261,3502
2019,2,Suiza,270,60,10,340,66,406
2019,2,Austria,441,73,13,527,110,637
2019,2,Rusia,243,65,21,329,185,514
2019,2,Países del Este,622,114,60,796,443,1239
2019,2,Resto de Europa,2085,228,44,2357,657,3014
2019,2,USA,111,16,14,141,34,175
2019,2,Resto de América,226,49,8,283,80,363
2019,2,Resto del Mundo,822,88,29,939,155,1094
2019,2,TOTAL,40520,7374,1910,49804,14540,64344
2019,3,España,16375,3453,1329,21157,6453,27610
2019,3,Holanda,308,105,9,422,292,714
2019,3,Bélgica,343,89,16,448,91,539
2019,3,Alemania,13298,2038,139,15475,2862,18337
2019,3,Francia,1581,382,94,2057,334,2391
2019,3,Reino Unido,5505,647,109,6261,1451,7712
2019,3,Irlanda,297,75,4,376,141,517
2019,3,Italia,372,202,79,653,284,937
2019,3,Suecia,940,314,16,1270,1071,2341
2019,3,Noruega,373,82,22,477,561,1038
2019,3,Dinamarca,721,102,12,835,987,1822
2019,3,Finlandia,1084,284,30,1398,2501,3899
2019,3,Suiza,288,101,13,402,81,483
2019,3,Austria,577,96,9,682,99,781
2019,3,Rusia,462,93,24,579,263,842
2019,3,Países del Este,677,96,87,860,559,1419
2019,3,Resto de Europa,1804,342,56,2202,544,2746
2019,3,USA,155,18,9,182,41,223
2019,3,Resto de América,226,30,10,266,151,417
2019,3,Resto del Mundo,1456,113,21,1590,200,1790
2019,3,TOTAL,46842,8662,2088,57592,18966,76558
2019,4,España,24721,5329,1142,31192,11655,42847
2019,4,Holanda,284,116,4,404,288,692
2019,4,Bélgica,490,62,7,559,51,610
2019,4,Alemania,8943,1209,65,10217,2242,12459
2019,4,Francia,2091,314,54,2459,1004,3463
2019,4,Reino Unido,4107,332,69,4508,1619,6127
2019,4,Irlanda,265,41,11,317,162,479
2019,4,Italia,482,187,58,727,284,1011
2019,4,Suecia,302,51,1,354,332,686
2019,4,Noruega,143,32,7,182,147,329
2019,4,Dinamarca,191,9,0,200,429,629
2019,4,Finlandia,307,69,0,376,568,944
2019,4,Suiza,283,77,5,365,96,461
2019,4,Austria,389,80,6,475,92,567
2019,4,Rusia,481,82,22,585,211,796
2019,4,Países del Este,794,154,25,973,349,1322
2019,4,Resto de Europa,1419,199,20,1638,486,2124
2019,4,USA,223,10,10,243,57,300
2019,4,Resto de América,151,43,2,196,134,330
2019,4,Resto del Mundo,432,41,10,483,210,693
2019,4,TOTAL,46498,8437,1518,56453,20416,76869
2019,5,España,27117,6209,1569,34895,11879,46774
2019,5,Holanda,261,85,7,353,196,549
2019,5,Bélgica,358,54,1,413,46,459
