año,mes,nacion,5 estrellas,4 estrellas,3 estrellas,1 y 2 estrellas,hoteleros,extrahoteleros,total
2019,6,Noruega,82,77,42,0,201,405,606
2019,6,Dinamarca,47,81,23,0,151,344,495
2019,6,Finlandia,141,11,24,0,176,61,237
2019,6,Suiza,54,289,158,0,501,229,730
2019,6,Austria,35,176,55,0,266,108,374
2019,6,Rusia,99,1021,217,0,1337,643,1980
2019,6,Países del Este,270,911,530,0,1711,1475,3186
2019,6,Resto de Europa,177,1513,643,0,2333,1815,4148
2019,6,USA,42,87,41,0,170,95,265
2019,6,Resto de América,35,80,70,26,211,146,357
2019,6,Resto del Mundo,76,496,218,15,805,382,1187
2019,6,TOTAL,5303,44578,19133,111,69125,68800,137925
2019,7,España,1061,7864,3352,148,12425,10343,22768
2019,7,Holanda,61,2443,316,0,2820,4200,7020
2019,7,Bélgica,168,2801,320,2,3291,1070,4361
2019,7,Alemania,192,1473,1280,30,2975,1470,4445
2019,7,Francia,40,508,309,16,873,2144,3017
2019,7,Reino Unido,2242,22717,9003,9,33971,40770,74741
2019,7,Irlanda,509,2012,1172,19,3712,4097,7809
2019,7,Italia,126,1012,1159,47,2344,1372,3716
2019,7,Suecia,54,126,82,3,265,472,737
2019,7,Noruega,46,205,61,0,312,597,909
2019,7,Dinamarca,42,174,105,2,323,541,864
2019,7,Finlandia,142,1,6,0,149,42,191
2019,7,Suiza,58,277,130,6,471,268,739
2019,7,Austria,42,177,67,6,292,218,510
2019,7,Rusia,156,1092,211,0,1459,748,2207
2019,7,Países del Este,384,880,267,10,1541,1613,3154
2019,7,Resto de Europa,296,1588,876,11,2771,2289,5060
2019,7,USA,58,152,39,2,251,220,471
2019,7,Resto de América,55,139,51,8,253,206,459
2019,7,Resto del Mundo,168,699,176,25,1068,574,1642
2019,7,TOTAL,5900,46340,18982,344,71566,73254,144820
2019,8,España,1270,11208,4842,22,17342,13317,30659
2019,8,Holanda,94,2739,329,7,3169,3825,6994
2019,8,Bélgica,169,2772,284,0,3225,687,3912
2019,8,Alemania,195,1408,1091,0,2694,1043,3737
2019,8,Francia,100,818,353,0,1271,1943,3214
2019,8,Reino Unido,2050,20964,8098,11,31123,40066,71189
2019,8,Irlanda,462,2124,1157,11,3754,3536,7290
2019,8,Italia,174,2124,1617,15,3930,2065,5995
2019,8,Suecia,52,68,69,0,189,176,365
2019,8,Noruega,58,144,39,0,241,264,505
2019,8,Dinamarca,31,113,72,0,216,225,441
2019,8,Finlandia,144,30,7,0,181,44,225
2019,8,Suiza,39,194,144,0,377,145,522
2019,8,Austria,36,163,67,0,266,119,385
2019,8,Rusia,197,997,158,0,1352,539,1891
2019,8,Países del Este,281,816,373,7,1477,1292,2769
2019,8,Resto de Europa,255,1430,700,0,2385,1677,4062
2019,8,USA,58,67,18,0,143,100,243
2019,8,Resto de América,71,129,36,0,236,209,445
2019,8,Resto del Mundo,131,539,114,18,802,494,1296
2019,8,TOTAL,5867,48847,19568,91,74373,71766,146139
2019,9,España,695,5166,2736,332,8929,6628,15557
2019,9,Holanda,70,1732,446,0,2248,2977,5225
2019,9,Bélgica,108,2586,422,25,3141,654,3795
2019,9,Alemania,195,1708,1110,136,3149,902,4051
2019,9,Francia,71,619,394,63,1147,1034,2181
2019,9,Reino Unido,2870,21460,10383,104,34817,36419,71236
2019,9,Irlanda,499,2164,1208,24,3895,2709,6604
2019,9,Italia,153,1208,1430,48,2839,1133,3972
2019,9,Suecia,90,91,90,0,271,296,567
2019,9,Noruega,56,139,96,7,298,584,882
2019,9,Dinamarca,25,79,143,1,248,355,603
2019,9,Finlandia,18,38,41,6,103,138,241
2019,9,Suiza,58,279,158,22,517,311,828
2019,9,Austria,28,138,67,13,246,119,365
2019,9,Rusia,157,1003,385,6,1551,464,2015
2019,9,Países del Este,207,907,359,25,1498,1456,2954
2019,9,Resto de Europa,176,1100,905,27,2208,1228,3436
2019,9,USA,65,93,41,6,205,70,275
2019,9,Resto de América,25,168,39,24,256,124,380
2019,9,Resto del Mundo,109,820,134,30,1093,302,1395
2019,9,TOTAL,5675,41498,20587,899,68659,57903,126562
2019,10,España,616,4666,2183,192,7657,5585,13242
2019,10,Holanda,80,1914,513,0,2507,3025,5532
2019,10,Bélgica,132,2566,341,13,3052,756,3808
2019,10,Alemania,261,1756,1248,89,3354,1310,4664
2019,10,Francia,133,796,438,26,1393,1430,2823
2019,10,Reino Unido,2476,21416,8061,94,32047,31988,64035
2019,10,Irlanda,447,1882,983,67,3379,2580,5959
2019,10,Italia,204,1422,1372,42,3040,1188,4228
2019,10,Suecia,168,845,436,16,1465,3688,5153
2019,10,Noruega,172,685,310,13,1180,2217,3397
2019,10,Dinamarca,100,489,279,2,870,1533,2403
2019,10,Finlandia,121,871,172,6,1170,2540,3710
2019,10,Suiza,148,417,194,7,766,577,1343
2019,10,Austria,33,172,61,6,272,170,442
2019,10,Rusia,201,1266,281,1,1749,625,2374
2019,10,Países del Este,228,905,517,16,1666,1468,3134
2019,10,Resto de Europa,221,1668,630,6,2525,1739,4264
2019,10,USA,34,75,32,1,142,144,286
2019,10,Resto de América,44,88,50,13,195,125,320
2019,10,Resto del Mundo,77,673,314,16,1080,382,1462
2019,10,TOTAL,5896,44572,18415,626,69509,63070,132579
2019,11,España,499,3567,1384,185,5635,3266,8901
2019,11,Holanda,55,1695,305,0,2055,2291,4346
2019,11,Bélgica,104,2574,232,26,2936,1150,4086
2019,11,Alemania,357,2521,1164,164,4206,1605,5811
2019,11,Francia,90,741,249,39,1119,1351,2470
2019,11,Reino Unido,2012,18577,6934,151,27674,24213,51887
2019,11,Irlanda,381,1942,647,57,3027,1866,4893
